25,15.1,752.7
24,15.3,752.7
23,15.4,752.7
23,15.4,752.8
37,10.7,752.9
35,11,752.9
27,13.5,752.9
26,14.2,752.9
25,14.9,752.9
22,15.2,752.9
22,15.4,752.9
34,11.4,753
31,12.2,753
30,13.1,753
29,13.2,753
29,13.3,753
26,13.4,753
26,13.5,753
27,13.7,753
25,13.8,753
22,15.2,753
21,15.4,753
22,15.6,753
41,10,753.1
32,11.7,753.1
30,12.7,753.1
34,12.7,753.1
32,12.9,753.1
34,13,753.1
24,14,753.1
23,14.5,753.1
21,15.3,753.1
22,15.4,753.1
95,-3.2,753.2
44,9.1,753.2
35,12.6,753.2
36,12.8,753.2
20,15.3,753.2
20,15.6,753.2
23,16.1,753.2
21,16.7,753.2
96,-3.5,753.3
96,-3.5,753.3
96,-3.4,753.3
95,-3.3,753.3
95,-3.2,753.3
95,-3.1,753.3
95,-3.1,753.3
96,-3.1,753.3
96,-3.1,753.3
95,-2.9,753.3
96,-2.9,753.3
94,-2.8,753.3
96,-2.8,753.3
97,-2.8,753.3
96,-2.7,753.3
97,-2.7,753.3
97,-2.7,753.3
96,-2.6,753.3
96,-2.5,753.3
64,3.9,753.3
49,8.2,753.3
19,15.5,753.3
23,15.8,753.3
96,-3.6,753.4
94,-2.7,753.4
96,-2.4,753.4
60,4.4,753.4
57,6.1,753.4
54,7,753.4
37,12,753.4
36,12.3,753.4
20,15.4,753.4
20,15.5,753.4
23,15.6,753.4
96,-3.6,753.5
94,-3.4,753.5
95,-3.4,753.5
95,-3.3,753.5
96,-3.2,753.5
94,-2.6,753.5
94,-2.6,753.5
96,-2.3,753.5
60,5.2,753.5
38,11.5,753.5
38,11.8,753.5
19,15.6,753.5
23,15.7,753.5
96,-3.7,753.6
95,-3.3,753.6
94,-2.5,753.6
96,-2.2,753.6
64,3.4,753.6
48,10.6,753.6
42,11.2,753.6
20,15.1,753.6
24,15.4,753.6
24,15.5,753.6
31,17.9,753.6
31,18.1,753.6
96,-3.6,753.7
95,-3.2,753.7
93,-2.4,753.7
93,-2.4,753.7
96,-2.1,753.7
55,9.9,753.7
25,15.1,753.7
33,17.2,753.7
34,17.3,753.7
32,17.5,753.7
35,17.6,753.7
33,17.7,753.7
32,17.8,753.7
31,18,753.7
31,18,753.7
32,18.1,753.7
97,-3.5,753.8
95,-3.1,753.8
92,-2.3,753.8
93,-2.1,753.8
96,-2.1,753.8
92,-2,753.8
95,-2,753.8
67,2.9,753.8
81,7.2,753.8
80,7.6,753.8
76,8.1,753.8
67,9,753.8
36,14.9,753.8
19,15,753.8
36,15.5,753.8
35,16.1,753.8
34,17.6,753.8
97,-3.3,753.9
93,-3.2,753.9
97,-3.2,753.9
94,-3.1,753.9
92,-1.8,753.9
68,2.4,753.9
82,6.9,753.9
38,14.4,753.9
18,14.9,753.9
22,16,753.9
34,17.3,753.9
20,17.6,753.9
33,17.6,753.9
16,17.7,753.9
18,17.7,753.9
33,17.7,753.9
18,17.9,753.9
20,17.9,753.9
97,-3.2,754
95,-1.9,754
92,-1.7,754
69,2,754
83,6.2,754
83,6.5,754
40,13.6,754
38,14.1,754
21,14.6,754
19,14.8,754
17,17.7,754
20,17.7,754
14,17.8,754
15,17.8,754
17,18,754
31,18.5,754
91,-3.5,754.1
97,-3.3,754.1
97,-3.2,754.1
95,-1.9,754.1
95,-1.8,754.1
95,-1.7,754.1
95,-1.6,754.1
92,-1.5,754.1
71,1.6,754.1
79,6,754.1
42,13.1,754.1
22,16,754.1
21,17.4,754.1
31,18,754.1
15,18.3,754.1
91,-3.7,754.2
97,-3.4,754.2
92,-3.3,754.2
94,-1.6,754.2
92,-1.4,754.2
74,1.2,754.2
78,5.7,754.2
79,5.9,754.2
